Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2026 - May 22, 2026"
Statement,Data,WhenGenerated,"2026-05-24, 05:32:17 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Jane Doe
Account Information,Data,Account,U00000001
Account Information,Data,Master Name,Example Introducing Broker Ltd
Account Information,Data,Account Type,Broker Client
Account Information,Data,Customer Type,Individual
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,1596.7081871,22994.868053808,0,22994.868053808,21398.159866708
Net Asset Value,Data,Stock,85400.65,104230.59,0,104230.59,18829.94
Net Asset Value,Data,Interest Accruals,0,0,-2.0842832,-2.0842832,-2.0842832
Net Asset Value,Data,Dividend Accruals,20.74,13.7,0,13.7,-7.04
Net Asset Value,Data,Total,87018.0981871,127239.158053808,-2.0842832,127237.073770608,40218.975583508
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,13.757502462%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,87018.0981871
Change in NAV,Data,Mark-to-Market,16703.55128179
Change in NAV,Data,Deposits & Withdrawals,25454.36
Change in NAV,Data,Dividends,114.26
Change in NAV,Data,Withholding Tax,-25.74
Change in NAV,Data,Change in Dividend Accruals,-7.04
Change in NAV,Data,Interest,-0.49
Change in NAV,Data,Change in Interest Accruals,-2.084706
Change in NAV,Data,Other Fees,-1852.8039575
Change in NAV,Data,Commissions,-165.03742055
Change in NAV,Data,Other FX Translations,0.0004228
Change in NAV,Data,Ending Value,127237.073770608
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,ADBE,5,12,349.9900,244.7600,-746.29,-10.48,-12.5,0,-769.27,
Mark-to-Market Performance Summary,Data,Stocks,AMD,15,10,214.1600,467.5100,4439.69,-127.12,-20,0,4292.57,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,5,8,230.8200,266.3200,336.28,1.25,-5,0,332.53,
Mark-to-Market Performance Summary,Data,Stocks,AVGO,7,11.025,346.1000,414.1400,840.320102,-0.898018,-12.5,4.88,831.802084,
Mark-to-Market Performance Summary,Data,Stocks,GOOGL,40.068,43.0885,313.0000,382.9700,3098.72614,-5.739845,-7.5,6.31,3091.796295,
Mark-to-Market Performance Summary,Data,Stocks,IYW,5,0,199.6800,--,72.25,-6.55,-2.5,0.29,63.49,
Mark-to-Market Performance Summary,Data,Stocks,META,6,8.5048,660.0900,610.2600,-234.403456,-1.584316,-15,2.56,-248.427772,
Mark-to-Market Performance Summary,Data,Stocks,MSFT,15.0437,20.0744,483.6200,418.5700,-891.183385,-5.692272,-12.5,12.31,-897.065657,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,140.0074,130.0074,186.5000,215.3300,4120.88,-0.604,-7.5,1.06,4113.836,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,33,50,177.7500,136.8800,-1376.99,28.426,-10,0,-1358.564,
Mark-to-Market Performance Summary,Data,Stocks,TSLA,7,7,449.7200,426.0100,-165.97,0,0,0,-165.97,
Mark-to-Market Performance Summary,Data,Stocks,TSM,37.7323,37.8761,303.8900,404.5200,4111.061376,10.961228,-12.5,50.37,4159.892604,
Mark-to-Market Performance Summary,Data,Stocks,UNH,5.0594,7.0943,330.1100,388.4700,534.116883,-11.542834,-7.5,10.04,525.114049,
Mark-to-Market Performance Summary,Data,Stocks,VRT,12,12,162.0100,327.4600,2473.44,8.85,-5,0.7,2477.99,
